date,halving_era,open,high,low,close,daily_change,daily_pct_change,daily_range,ma_7,ma_30,ma_200,volatility_30d,macd,macd_signal,rsi_14,is_interpolated,move_class,rsi_zone,range_band,trend,close_minmax,close_zscore,pct_zscore,range_pct
2011-03-27,Genesis Era (50 BTC/block),0.8552,0.8721,0.8152,0.82,-0.0352,-4.115996258185222,0.0568999999999999,0.8348000000000001,0.86926,0.4041414,4.031983374951607,-0.0109569935169464,-0.0124355714192549,46.230071190266216,False,Fall,Neutral,Medium,Above 200-MA,1.118458138348797e-06,-0.6978368137226221,-0.6625069137951848,6.653414405986892
2011-03-28,Genesis Era (50 BTC/block),0.82,0.85,0.76,0.799,-0.0209999999999999,-2.5609756097560865,0.0899999999999999,0.8405142857142858,0.8639600000000001,0.40783085,3.918694374221195,-0.0133638140514981,-0.0126212199457035,43.92920289121992,False,Fall,Neutral,High,Above 200-MA,9.506894175964781e-07,-0.6978375035675013,-0.43132661001039635,10.97560975609755
2011-03-29,Genesis Era (50 BTC/block),0.799,0.7997,0.7648,0.7925,-0.0065,-0.8135168961201579,0.0348999999999999,0.8381571428571428,0.8607099999999999,0.41148435,3.7182924276339935,-0.0156157239967849,-0.0132201207559198,43.2123113758538,False,Flat,Neutral,Medium,Above 200-MA,8.987610040302834e-07,-0.6978377170909162,-0.17153711031608437,4.3679599499374095
2011-03-30,Genesis Era (50 BTC/block),0.7925,0.795,0.766,0.7897,-0.0028,-0.3533123028391198,0.029,0.8295857142857141,0.8583666666666666,0.41511455,3.673461300974187,-0.0174254457602228,-0.0140611857567804,42.88762692414933,False,Flat,Neutral,Medium,Above 200-MA,8.763918412633073e-07,-0.6978378090702334,-0.10311985953209023,3.659305993690852
2011-03-31,Genesis Era (50 BTC/block),0.7897,0.801,0.768,0.7846,-0.0050999999999999,-0.6458148664049631,0.033,0.8178285714285715,0.8538466666666665,0.4187300499999999,3.411184967024564,-0.0190515759650791,-0.0150592637984401,42.26471199849804,False,Flat,Neutral,Medium,Above 200-MA,8.356480090806011e-07,-0.6978379766039898,-0.14660534737515576,4.178802076738002
2011-04-01,Genesis Era (50 BTC/block),0.7846,0.797,0.7741,0.7741,-0.0104999999999999,-1.3382615345398872,0.0229,0.8021571428571427,0.84832,0.4222895999999999,3.3781950944944428,-0.0209461044621592,-0.016236631931184,40.94611162869059,False,Fall,Neutral,Low,Above 200-MA,7.517636487044416e-07,-0.6978383215264294,-0.24954933802628146,2.9186846800917667
2011-04-02,Genesis Era (50 BTC/block),0.7741,0.7998,0.7741,0.782,0.0079,1.0205399819144838,0.0256999999999999,0.7917,0.8430833333333333,0.42588965,3.389906235698588,-0.0215615201853741,-0.017301609582022,42.40212124774694,False,Rise,Neutral,Medium,Above 200-MA,8.148766436541239e-07,-0.6978380620133559,0.10112668141616499,3.319984498126844
2011-04-03,Genesis Era (50 BTC/block),0.782,0.7949,0.777,0.779,-0.003,-0.3836317135549875,0.0179,0.7858428571428571,0.8390166666666666,0.4294826499999999,3.324699942907806,-0.0220372844108516,-0.0182487445477879,41.97884386253873,False,Flat,Neutral,Low,Above 200-MA,7.909096835466498e-07,-0.6978381605626243,-0.10762735632124908,2.289002557544757
2011-04-04,Genesis Era (50 BTC/block),0.779,0.785,0.5619,0.68,-0.0989999999999999,-12.708600770218226,0.2231,0.7688428571428572,0.8313400000000001,0.4325731499999999,3.995097328636246,-0.03005633291331,-0.0206102622208923,30.98615764351337,False,Large Fall,Neutral,High,Above 200-MA,0.0,-0.697841412688483,-1.939943919793153,28.639281129653398
2011-04-05,Genesis Era (50 BTC/block),0.68,0.7478,0.58,0.71,0.0299999999999999,4.41176470588234,0.1678,0.7570571428571429,0.82501,0.43582815,4.109987214649173,-0.0336033785159392,-0.0232088854799017,36.4195111727781,False,Rise,Neutral,High,Above 200-MA,2.396696010747417e-07,-0.6978404271957985,0.6052899944122635,24.676470588235293
2011-04-06,Genesis Era (50 BTC/block),0.71,0.75,0.6902,0.74,0.03,4.2253521126760605,0.0597999999999999,0.749957142857143,0.8201766666666667,0.4392231499999999,4.202236554601024,-0.0336062959708088,-0.0252883675780831,41.38882967443053,False,Rise,Neutral,High,Above 200-MA,4.793392021494843e-07,-0.697839441703114,0.5775765875386816,8.422535211267594
2011-04-07,Genesis Era (50 BTC/block),0.74,0.7849,0.7205,0.7538,0.0138,1.8648648648648691,0.0644,0.7455571428571429,0.8163033333333334,0.44267865,4.217788307660748,-0.0321247492933327,-0.026655643921133,43.57356145120156,False,Rise,Neutral,High,Above 200-MA,5.895872186438661e-07,-0.6978389883764792,0.2266499554194434,8.702702702702702
2011-04-08,Genesis Era (50 BTC/block),0.7538,0.799,0.7309,0.75,-0.0038,-0.5041124966834738,0.0681,0.7421142857142858,0.8124866666666667,0.44611815,4.217598570585683,-0.0309010332435344,-0.0275047217856133,43.09717898408336,False,Flat,Neutral,High,Above 200-MA,5.592290691743985e-07,-0.6978391132055526,-0.12553887670653094,9.03422658530114
2011-04-09,Genesis Era (50 BTC/block),0.75,0.7676,0.7205,0.73,-0.02,-2.6666666666666687,0.0470999999999999,0.7346857142857143,0.8057233333333333,0.4494549,3.932596169357076,-0.0311855744211164,-0.0282408923127139,40.58239073922347,False,Fall,Neutral,Medium,Above 200-MA,3.9944933512457013e-07,-0.6978397702006756,-0.44703938570157864,6.279999999999987
2011-04-10,Genesis Era (50 BTC/block),0.73,0.7589,0.71,0.7369,0.0069,0.9452054794520572,0.0489,0.7286714285714285,0.8009533333333334,0.4528284,3.830599888413135,-0.0305026870312321,-0.0286932512564176,41.843221222226376,False,Flat,Neutral,Medium,Above 200-MA,4.54573343371761e-07,-0.6978395435373581,0.08992692456256117,6.698630136986301
2011-04-11,Genesis Era (50 BTC/block),0.7369,0.799,0.7103,0.77,0.0331,4.491789930791155,0.0887,0.7415285714285714,0.79602,0.45636685,3.838279638476949,-0.0269795964889439,-0.0283505203029228,47.58874554762988,False,Rise,Neutral,High,Above 200-MA,7.19008803224227e-07,-0.6978384562104295,0.6171871070477483,12.036911385533994
2011-04-12,Genesis Era (50 BTC/block),0.77,0.899,0.77,0.86,0.0899999999999999,11.688311688311684,0.129,0.7629571428571429,0.7949366666666666,0.4603558499999999,4.409833075014035,-0.0167323933975337,-0.026026894921845,59.348643757388345,False,Large Rise,Neutral,High,Above 200-MA,1.438017606448454e-06,-0.6978354997323761,1.6870726341486784,16.753246753246753
2011-04-13,Genesis Era (50 BTC/block),0.86,1.0,0.86,0.9225,0.0625,7.267441860465117,0.14,0.7890285714285713,0.7958566666666668,0.46465825,4.606845521728131,-0.0035275203954598,-0.021527020016568,65.18990244238113,False,Large Rise,Neutral,High,Above 200-MA,1.937329275354167e-06,-0.6978334466226168,1.029835040019619,16.27906976744186
2011-04-14,Genesis Era (50 BTC/block),0.9225,1.0,0.91,1.0,0.0775,8.40108401084011,0.0899999999999999,0.8241999999999999,0.80019,0.4693482499999999,4.805040261983147,0.0130407136705007,-0.0146134732791542,70.79404506789717,False,Large Rise,Overbought,High,Above 200-MA,2.5564757447972517e-06,-0.6978309007665153,1.1983702533440708,9.756097560975599
